Produkt,27.06.2019,27.06.2019,27.06.2019
PNY GeForce GTX 1660 XLR8 Gaming OC SF 6GB GDDR5,979.00 z³,979.00 z³,
PNY GeForce GTX 1060 XLR8 Gaming OC 6GB GDDR5,899.00 z³,899.00 z³,899.00 z³
Gigabyte Radeon RX 570 GAMING 8GB GDDR5,739.00 z³,739.00 z³,739.00 z³
MSI Radeon RX 570 ARMOR OC 8GB,769.00 z³,769.00 z³,769.00 z³
Gigabyte GeForce GTX 1660 OC 6GB GDDR5,1 025.00 z³,1 025.00 z³,1 025.00 z³
MSI Radeon RX 570 ARMOR OC 4GB GDDR5,639.00 z³,639.00 z³,639.00 z³
ASUS Radeon RX 570 STRIX 4GB GDDR5,639.00 z³,639.00 z³,639.00 z³
Gigabyte Radeon RX 580 GAMING 4GB GDDR5,719.00 z³,719.00 z³,719.00 z³
MSI GeForce RTX 2060 GAMING Z 6GB GDDR6,1 739.00 z³,1 739.00 z³,1 739.00 z³
Gigabyte GeForce GTX 1660 Ti OC 6GB GDDR6,1 289.00 z³,1 289.00 z³,1 289.00 z³
MSI GeForce RTX 2070 ARMOR 8GB GDDR6,2 169.00 z³,2 169.00 z³,2 169.00 z³
MSI GeForce GTX 1060 GAMING X 6GB GDDR5,1 089.00 z³,1 089.00 z³,1 089.00 z³
Gigabyte GeForce GTX 1070 G1 Gaming 8GB GDDR5,1 459.00 z³,1 459.00 z³,1 459.00 z³
Gigabyte Radeon RX 580 GAMING 8GB GDDR5,879.00 z³,879.00 z³,879.00 z³
Palit GeForce GTX 1070 JetStream 8GB GDDR5,1 269.00 z³,1 269.00 z³,1 269.00 z³
MSI GeForce RTX 2060 VENTUS OC 6GB GDDR6,1 579.00 z³,1 579.00 z³,1 579.00 z³
Gigabyte GeForce GTX 1060 WindForce II OC 6GB GDDR5,1 049.00 z³,1 049.00 z³,1 049.00 z³
Palit GeForce RTX 2060 Gaming Pro OC 6GB GDDR6,1 599.00 z³,1 599.00 z³,1 599.00 z³
MSI GeForce GTX 1660 Ti Gaming X 6GB GDDR6,1 399.00 z³,1 399.00 z³,1 399.00 z³
MSI GeForce GTX 1050 TI GAMING X 4GB GDDR5,669.00 z³,669.00 z³,669.00 z³
Gainward GeForce RTX 2060 Phoenix G S  6GB GDDR6,1 689.00 z³,1 689.00 z³,1 689.00 z³
ASUS GeForce GTX 1060 Expedition 6GB GDDR5,949.00 z³,949.00 z³,949.00 z³
Sapphire Radeon RX 590 NITRO+ Special Edition 8GB GDDR5,1 129.00 z³,1 129.00 z³,1 129.00 z³
Gigabyte GeForce GTX 1660 GAMING OC 6GB GDDR5,1 099.00 z³,1 099.00 z³,1 099.00 z³
ASUS GeForce RTX 2070 ROG Strix Advance 8GB GDDR6,2 499.00 z³,2 499.00 z³,2 499.00 z³
MSI GeForce GTX 1660 Ti VENTUS XS OC 6GB GDDR6,1 279.00 z³,1 279.00 z³,1 279.00 z³
Gigabyte GeForce RTX 2070 GAMING 8G GDDR6,2 369.00 z³,2 369.00 z³,2 369.00 z³
MSI GeForce GTX 1660 Gaming X 6GB GDDR5,1 159.00 z³,1 159.00 z³,1 159.00 z³
ASUS GeForce GTX 1060 Dual OC 6GB GDDR5,939.00 z³,939.00 z³,939.00 z³
ASUS GeForce RTX 2060 ROG Strix OC 6GB GDDR6,1 819.00 z³,1 819.00 z³,1 819.00 z³
ASUS GeForce GTX 1060 Phoenix 3GB GDDR5,699.00 z³,699.00 z³,699.00 z³
MSI GeForce GTX 1050 TI 4GT OC 4GB GDDR5,699.00 z³,699.00 z³,699.00 z³
Gigabyte GeForce RTX 2060 OC 6GB GDDR6 v2,1 599.00 z³,1 599.00 z³,1 599.00 z³
ASUS GeForce GT 710 Silent LP 1GB GDDR5,185.00 z³,185.00 z³,185.00 z³
